plugin,plugin_class,method,kind,signature,description,implemented_by_tools,status,priority,firmware_notes
camera,Camera,zoom_range,async call,"(component_id, range)",Zoom to value as proportion of full camera range (percentage between 0.0 and 100.0).,camera_zoom_focus,implemented,P1,
camera,Camera,zoom_stop,async call,(component_id),Stop zooming.,camera_zoom_focus,implemented,P1,
camera_server,CameraServer,capture_status,stream (async generator),(),Subscribe to camera capture status requests. Each request received should response to using RespondCaptureStatus,,candidate-N/A,,
camera_server,CameraServer,format_storage,stream (async generator),(),Subscribe to format storage requests. Each request received should response to using RespondFormatStorage,,candidate-N/A,,
camera_server,CameraServer,reset_settings,stream (async generator),(),Subscribe to reset settings requests. Each request received should response to using RespondResetSettings,,candidate-N/A,,
camera_server,CameraServer,respond_capture_status,async call,"(capture_status_feedback, capture_status)",Respond to camera capture status from SubscribeCaptureStatus.,,candidate-N/A,,
camera_server,CameraServer,respond_format_storage,async call,(format_storage_feedback),Respond to format storage from SubscribeFormatStorage.,,candidate-N/A,,
camera_server,CameraServer,respond_reset_settings,async call,(reset_settings_feedback),Respond to reset settings from SubscribeResetSettings.,,candidate-N/A,,
camera_server,CameraServer,respond_set_mode,async call,(set_mode_feedback),Respond to set camera mode from SubscribeSetMode.,,candidate-N/A,,
camera_server,CameraServer,respond_start_video,async call,(start_video_feedback),Subscribe to stop video requests. Each request received should respond using StopVideoResponse,,candidate-N/A,,
camera_server,CameraServer,respond_start_video_streaming,async call,(start_video_streaming_feedback),Respond to start video streaming from SubscribeStartVideoStreaming.,,candidate-N/A,,
camera_server,CameraServer,respond_stop_video,async call,(stop_video_feedback),Respond to stop video request from SubscribeStopVideo.,,candidate-N/A,,
camera_server,CameraServer,respond_stop_video_streaming,async call,(stop_video_streaming_feedback),Respond to stop video streaming from SubscribeStopVideoStreaming.,,candidate-N/A,,
camera_server,CameraServer,respond_storage_information,async call,"(storage_information_feedback, storage_information)",Respond to camera storage information from SubscribeStorageInformation.,,candidate-N/A,,
camera_server,CameraServer,respond_take_photo,async call,"(take_photo_feedback, capture_info)",Respond to an image capture request from SubscribeTakePhoto.,,candidate-N/A,,
camera_server,CameraServer,respond_tracking_off_command,async call,(stop_video_feedback),Respond to an incoming tracking off command.,,candidate-N/A,,
camera_server,CameraServer,respond_tracking_point_command,async call,(stop_video_feedback),Respond to an incoming tracking point command.,,candidate-N/A,,
camera_server,CameraServer,respond_tracking_rectangle_command,async call,(stop_video_feedback),Respond to an incoming tracking rectangle command.,,candidate-N/A,,
camera_server,CameraServer,respond_zoom_in_start,async call,(zoom_in_start_feedback),Respond to zoom in start.,,candidate-N/A,,
camera_server,CameraServer,respond_zoom_out_start,async call,(zoom_out_start_feedback),Respond to zoom out start.,,candidate-N/A,,
camera_server,CameraServer,respond_zoom_range,async call,(zoom_range_feedback),Respond to zoom range.,,candidate-N/A,,
camera_server,CameraServer,respond_zoom_stop,async call,(zoom_stop_feedback),Respond to zoom stop.,,candidate-N/A,,
camera_server,CameraServer,set_in_progress,async call,(in_progress),Sets image capture in progress status flags. This should be set to true when the camera is busy taking a photo and false when it is done.,,candidate-N/A,,
camera_server,CameraServer,set_information,async call,(information),Sets the camera information. This must be called as soon as the camera server is created.,,candidate-N/A,,
camera_server,CameraServer,set_mode,stream (async generator),(),Subscribe to set camera mode requests. Each request received should response to using RespondSetMode,,candidate-N/A,,
camera_server,CameraServer,set_tracking_off_status,async call,(),Set the current tracking status to off.,,candidate-N/A,,
camera_server,CameraServer,set_tracking_rectangle_status,async call,(tracked_rectangle),Set/update the current rectangle tracking status.,,candidate-N/A,,
camera_server,CameraServer,set_video_streaming,async call,(video_streaming),Sets video streaming settings.,,candidate-N/A,,
camera_server,CameraServer,start_video,stream (async generator),(),Subscribe to start video requests. Each request received should respond to using RespondStartVideo,,candidate-N/A,,
camera_server,CameraServer,start_video_streaming,stream (async generator),(),Subscribe to start video streaming requests. Each request received should response to using RespondStartVideoStreaming,,candidate-N/A,,
camera_server,CameraServer,stop_video,stream (async generator),(),Subscribe to stop video requests. Each request received should response to using RespondStopVideo,,candidate-N/A,,
camera_server,CameraServer,stop_video_streaming,stream (async generator),(),Subscribe to stop video streaming requests. Each request received should response to using RespondStopVideoStreaming,,candidate-N/A,,
camera_server,CameraServer,storage_information,stream (async generator),(),Subscribe to camera storage information requests. Each request received should response to using RespondStorageInformation,,candidate-N/A,,
camera_server,CameraServer,take_photo,stream (async generator),(),Subscribe to image capture requests. Each request received should respond to using RespondTakePhoto.,,candidate-N/A,,
camera_server,CameraServer,tracking_off_command,stream (async generator),(),Subscribe to incoming tracking off command.,,candidate-N/A,,
camera_server,CameraServer,tracking_point_command,stream (async generator),(),Subscribe to incoming tracking point command.,,candidate-N/A,,
camera_server,CameraServer,tracking_rectangle_command,stream (async generator),(),Subscribe to incoming tracking rectangle command.,,candidate-N/A,,
camera_server,CameraServer,zoom_in_start,stream (async generator),(),Subscribe to zoom in start command,,candidate-N/A,,
camera_server,CameraServer,zoom_out_start,stream (async generator),(),Subscribe to zoom out start command,,candidate-N/A,,
camera_server,CameraServer,zoom_range,stream (async generator),(),Subscribe to zoom range command,,candidate-N/A,,
camera_server,CameraServer,zoom_stop,stream (async generator),(),Subscribe to zoom stop command,,candidate-N/A,,
component_information,ComponentInformation,access_float_params,async call,(),List available float params.,,missing,,
component_information,ComponentInformation,float_param,stream (async generator),(),Subscribe to float param changes/updates.,,missing,,
component_information_server,ComponentInformationServer,float_param,stream (async generator),(),Subscribe to float param updates.,,candidate-N/A,,
component_information_server,ComponentInformationServer,provide_float_param,async call,(param),Provide a param of type float.,,candidate-N/A,,
core,Core,connection_state,stream (async generator),(),Subscribe to 'connection state' updates.,[infra: connect_drone_background],implemented,,
core,Core,set_mavlink_timeout,async call,(timeout_s),Set timeout of MAVLink transfers.,,missing,,
failure,Failure,inject,async call,"(failure_unit, failure_type, instance)",Injects a failure.,,missing,P2,
follow_me,FollowMe,get_config,async call,(),Get current configuration.,,missing,P2,
follow_me,FollowMe,get_last_location,async call,(),Get the last location of the target.,,missing,P2,
follow_me,FollowMe,is_active,async call,(),Check if FollowMe is active.,,missing,P2,
follow_me,FollowMe,set_config,async call,(config),Apply configuration by sending it to the system.,,missing,P2,
follow_me,FollowMe,set_target_location,async call,(location),Set location of the moving target.,,missing,P2,
follow_me,FollowMe,start,async call,(),Start FollowMe mode.,,missing,P2,
follow_me,FollowMe,stop,async call,(),Stop FollowMe mode.,,missing,P2,
ftp,Ftp,are_files_identical,async call,"(local_file_path, remote_file_path)",Compares a local file to a remote file using a CRC32 checksum.,,missing,P2,
ftp,Ftp,create_directory,async call,(remote_dir),Creates a remote directory.,,missing,P2,
ftp,Ftp,download,stream (async generator),"(remote_file_path, local_dir, use_burst)",Downloads a file to local directory.,,missing,P2,
ftp,Ftp,list_directory,async call,(remote_dir),Lists items from a remote directory.,,missing,P2,
ftp,Ftp,remove_directory,async call,(remote_dir),Removes a remote directory.,,missing,P2,
ftp,Ftp,remove_file,async call,(remote_file_path),Removes a remote file.,,missing,P2,
ftp,Ftp,rename,async call,"(remote_from_path, remote_to_path)",Renames a remote file or remote directory.,,missing,P2,
ftp,Ftp,set_target_compid,async call,(compid),Set target component ID. By default it is the autopilot.,,missing,P2,
ftp,Ftp,upload,stream (async generator),"(local_file_path, remote_dir)",Uploads local file to remote directory.,,missing,P2,
geofence,Geofence,clear_geofence,async call,(),Clear all geofences saved on the vehicle.,clear_geofence,implemented,P0,ArduCopter 4.5.7 SITL: works. PX4: untested (SITL pending).
geofence,Geofence,upload_geofence,async call,(geofence_data),Upload geofences.,upload_geofence,implemented,P0,ArduCopter 4.5.7 SITL: works - polygon and circle (inclusion) uploads accepted via fence mission protocol; enforcement additionally requires FENCE_ENABLE=1. PX4: untested (SITL pending).
gimbal,Gimbal,attitude,stream (async generator),(),Subscribe to attitude updates.,,candidate-N/A,P1,Subscription stream duplicating get_attitude; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
gimbal,Gimbal,control_status,stream (async generator),(),Subscribe to control status updates.,,candidate-N/A,P1,Subscription stream duplicating get_control_status; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications.
gimbal,Gimbal,get_attitude,async call,(gimbal_id),Get attitude for specific gimbal.,gimbal_point,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): works - matches commanded angles. Invalid gimbal_id yields INVALID_ARGUMENT.
gimbal,Gimbal,get_control_status,async call,(gimbal_id),Get control status for specific gimbal.,gimbal_control,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): works - reports PRIMARY controller sysid/compid.
gimbal,Gimbal,gimbal_list,stream (async generator),(),Subscribe to list of gimbals.,list_gimbals,implemented,P1,ArduCopter 4.5.7 SITL (MNT1_TYPE=1 simulated mount): works - gimbal discovered with id=1.
gimbal,Gimbal,release_control,async call,(gimbal_id),Release control.,gimbal_control,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): works.
gimbal,Gimbal,set_angles,async call,"(gimbal_id, roll_deg, pitch_deg, yaw_deg, gimbal_mode, send_mode)","Set gimbal roll, pitch and yaw angles.",gimbal_point,implemented,P1,"ArduCopter 4.5.7 SITL (simulated mount): works - commanded pitch -45 deg, gimbal attitude confirmed -45.0 deg."
gimbal,Gimbal,set_angular_rates,async call,"(gimbal_id, roll_rate_deg_s, pitch_rate_deg_s, yaw_rate_deg_s, gimbal_mode, send_mode)",Set gimbal angular rates.,gimbal_point,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): accepted; rate tracking not quantitatively verified.
gimbal,Gimbal,set_roi_location,async call,"(gimbal_id, latitude_deg, longitude_deg, altitude_m)",Set gimbal region of interest (ROI).,gimbal_point,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): accepted; pointing behavior not quantitatively verified.
gimbal,Gimbal,take_control,async call,"(gimbal_id, control_mode)",Take control.,gimbal_control,implemented,P1,ArduCopter 4.5.7 SITL (simulated mount): works. Without a configured mount: GimbalError ERROR.
gripper,Gripper,grab,async call,(instance),Gripper grab cargo.,,missing,,
gripper,Gripper,release,async call,(instance),Gripper release cargo.,,missing,,
info,Info,flight_information,stream (async generator),(),Subscribe to 'flight information' updates.,,missing,,
info,Info,get_flight_information,async call,(),Get flight information of the system.,,missing,,
info,Info,get_identification,async call,(),Get the identification of the system.,,missing,,
info,Info,get_product,async call,(),Get product information of the system.,,missing,,
info,Info,get_speed_factor,async call,(),Get the speed factor of a simulation (with lockstep a simulation can run faster or slower than realtime).,,missing,,
info,Info,get_version,async call,(),Get the version information of the system.,,missing,,
log_files,LogFiles,download_log_file,stream (async generator),"(entry, path)",Download log file.,flight_logs,implemented,P1,"ArduCopter 4.5.7 SITL: untestable via MavSDK (get_entries fails, see above). PX4: untested (SITL pending)."
log_files,LogFiles,erase_all_log_files,async call,(),Erase all log files.,flight_logs,implemented,P1,ArduCopter 4.5.7 SITL: call accepted; erase effect not independently verified.
log_files,LogFiles,get_entries,async call,(),Get List of log files.,flight_logs,implemented,P1,"ArduCopter 4.5.7 SITL: MavSDK reports NO_LOGFILES although the autopilot answers LOG_REQUEST_LIST correctly (verified via pymavlink: num_logs=1, 1-based ids). MavSDK log_files expects PX4 0-based ids -> effectively PX4-only until fixed upstream."
manual_control,ManualControl,set_manual_control_input,async call,"(x, y, z, r)",Set manual control input,,missing,P2,
manual_control,ManualControl,start_altitude_control,async call,(),Start altitude control,,missing,P2,
manual_control,ManualControl,start_position_control,async call,(),Start position control using e.g. joystick input.,,missing,P2,
mission,Mission,cancel_mission_download,async call,(),Cancel an ongoing mission download.,,missing,,
mission,Mission,cancel_mission_upload,async call,(),Cancel an ongoing mission upload.,,missing,,
mission,Mission,clear_mission,async call,(),Clear the mission saved on the vehicle.,clear_mission,implemented,,
mission,Mission,download_mission,async call,(),Download a list of mission items from the system (asynchronous).,,missing,,
mission,Mission,download_mission_with_progress,stream (async generator),(),Download a list of mission items from the system (asynchronous) and report progress.,,missing,,
mission,Mission,get_return_to_launch_after_mission,async call,(),Get whether to trigger Return-to-Launch (RTL) after mission is complete.,,missing,,
mission,Mission,is_mission_finished,async call,(),Check if the mission has been finished.,is_mission_finished,implemented,,
mission,Mission,mission_progress,stream (async generator),(),Subscribe to mission progress updates.,"download_mission, hold_mission_position, is_mission_finished, print_mission_progress, resume_mission",implemented,,
mission,Mission,pause_mission,async call,(),Pause the mission.,,missing,,
mission,Mission,set_current_mission_item,async call,(index),Sets the mission item index to go to.,set_current_waypoint,implemented,,
mission,Mission,set_return_to_launch_after_mission,async call,(enable),Set whether to trigger Return-to-Launch (RTL) after the mission is complete.,initiate_mission,implemented,,
mission,Mission,start_mission,async call,(),Start the mission.,"initiate_mission, resume_mission",implemented,,
mission,Mission,upload_mission,async call,(mission_plan),Upload a list of mission items to the system.,,missing,,
mission,Mission,upload_mission_with_progress,stream (async generator),(mission_plan),Upload a list of mission items to the system and report upload progress.,,missing,,
mission_raw,MissionRaw,cancel_mission_download,async call,(),Cancel an ongoing mission download.,raw_mission_control,implemented,P1,ArduCopter 4.5.7 SITL: errors when no transfer is in progress (expected); mid-transfer cancel not separately verified.
mission_raw,MissionRaw,cancel_mission_upload,async call,(),Cancel an ongoing mission upload.,raw_mission_control,implemented,P1,ArduCopter 4.5.7 SITL: errors when no transfer is in progress (expected); mid-transfer cancel not separately verified.
mission_raw,MissionRaw,clear_mission,async call,(),Clear the mission saved on the vehicle.,raw_mission_control,implemented,P1,ArduCopter 4.5.7 SITL: works.
mission_raw,MissionRaw,download_geofence,async call,(),Download a list of raw geofence items from the system (asynchronous).,raw_geofence_transfer,implemented,P1,ArduCopter 4.5.7 SITL: works - returns fence items uploaded via the geofence plugin (cross-checked).
mission_raw,MissionRaw,download_mission,async call,(),Download a list of raw mission items from the system (asynchronous).,download_mission,implemented,P1,ArduCopter 4.5.7 SITL: works - round-trips uploaded items.
mission_raw,MissionRaw,download_rallypoints,async call,(),Download a list of raw rallypoint items from the system (asynchronous).,rally_points,implemented,P1,ArduCopter 4.5.7 SITL: works - round-trips uploaded rally points.
mission_raw,MissionRaw,import_qgroundcontrol_mission,async call,(qgc_plan_path),"Import a QGroundControl missions in JSON .plan format, from a file.",import_qgc_mission,implemented,P1,"Parsing is client-side in mavsdk_server (same code path as from_string, verified); file variant exercised via unit-level path handling."
mission_raw,MissionRaw,import_qgroundcontrol_mission_from_string,async call,(qgc_plan),"Import a QGroundControl missions in JSON .plan format, from a string.",import_qgc_mission,implemented,P1,ArduCopter 4.5.7 SITL: works - QGC .plan JSON parsed (client-side) and uploadable.
mission_raw,MissionRaw,mission_changed,stream (async generator),(),*,,candidate-N/A,P1,Notification stream; nothing to poll. Candidate for Phase 4 MCP notifications.
mission_raw,MissionRaw,mission_progress,stream (async generator),(),Subscribe to mission progress updates.,raw_mission_control,implemented,P1,"ArduCopter 4.5.7 SITL: works with caveats - emissions are event-driven (waypoint transitions), and a fresh subscription during the takeoff leg can report MISSION_CURRENT-derived total=1 instead of the uploaded item count (persistent pre-start subscription reported total=5 correctly; vehicle MISSION_COUNT verified 5 via pymavlink). Treat total as advisory on ArduPilot; tool exposes timeout_s."
mission_raw,MissionRaw,pause_mission,async call,(),Pause the mission.,raw_mission_control,implemented,P1,ArduCopter 4.5.7 SITL: works in flight (vehicle -> Loiter/HOLD). On ground/disarmed: no ack (timeout).
mission_raw,MissionRaw,set_current_mission_item,async call,(index),Sets the raw mission item index to go to.,raw_mission_control,implemented,P1,"ArduCopter 4.5.7 SITL: works once a mission is uploaded (indexes 0 and 2 verified on the ground). CAVEAT: mavsdk validates the index against its cached mission total, which can collapse to 1 mid-flight on ArduPilot (see mission_progress note) - higher indexes may then be rejected with INVALID_ARGUMENT."
mission_raw,MissionRaw,start_mission,async call,(),Start the mission.,raw_mission_control,implemented,P1,ArduCopter 4.5.7 SITL: works (one transient UNKNOWN ack observed immediately after arming; retry succeeds).
mission_raw,MissionRaw,upload_geofence,async call,(mission_items),Upload a list of geofence items to the system.,"import_qgc_mission, raw_geofence_transfer",implemented,P1,ArduCopter 4.5.7 SITL: accepted (raw fence items via mission protocol).
mission_raw,MissionRaw,upload_mission,async call,(mission_items),Upload a list of raw mission items to the system.,"import_qgc_mission, initiate_mission, upload_mission",implemented,P1,ArduCopter 4.5.7 SITL: works (v1 + QGC-imported items).
mission_raw,MissionRaw,upload_rally_points,async call,(mission_items),Upload a list of rally point items to the system.,"import_qgc_mission, rally_points",implemented,P1,"ArduCopter 4.5.7 SITL: works - GOTCHA: MavSDK requires first item current=1, else CURRENT_INVALID. Handled by the tool."
mission_raw_server,MissionRawServer,clear_all,stream (async generator),(),Subscribe when a MISSION_CLEAR_ALL is received,,candidate-N/A,,
mission_raw_server,MissionRawServer,current_item_changed,stream (async generator),(),Subscribe to when a new current item is set,,candidate-N/A,,
mission_raw_server,MissionRawServer,incoming_mission,stream (async generator),(),Subscribe to when a new mission is uploaded (asynchronous).,,candidate-N/A,,
mission_raw_server,MissionRawServer,set_current_item_complete,async call,(),Set Current item as completed,,candidate-N/A,,
mocap,Mocap,set_attitude_position_mocap,async call,(attitude_position_mocap),Send motion capture attitude and position.,,missing,,
mocap,Mocap,set_odometry,async call,(odometry),Send odometry information with an external interface.,,missing,,
mocap,Mocap,set_vision_position_estimate,async call,(vision_position_estimate),Send Global position/attitude estimate from a vision source.,,missing,,
offboard,Offboard,is_active,async call,(),Check if offboard control is active.,offboard_control,implemented,P0,ArduCopter 4.5.7 SITL: works - tracks start/stop correctly. PX4: untested (SITL pending).
offboard,Offboard,set_acceleration_ned,async call,(acceleration_ned),Set the acceleration in NED coordinates.,offboard_set_acceleration_ned,implemented,P0,ArduCopter 4.5.7 SITL: accepted (ArduCopter GUIDED supports acceleration targets since 4.3); effect not quantitatively verified. PX4: untested (SITL pending).
offboard,Offboard,set_actuator_control,async call,(actuator_control),Set direct actuator control values to groups #0 and #1.,offboard_set_actuator_control,implemented,P0,ArduCopter 4.5.7 SITL: RPC accepted but inert - ArduPilot has no SET_ACTUATOR_CONTROL_TARGET handler; treat as PX4-only. PX4: untested (SITL pending).
offboard,Offboard,set_attitude,async call,(attitude),"Set the attitude in terms of roll, pitch and yaw in degrees with thrust.",offboard_set_attitude,implemented,P0,"ArduCopter 4.5.7 SITL: works - commanded pitch -5 deg, telemetry confirmed -5.0 deg. PX4: untested (SITL pending)."
offboard,Offboard,set_attitude_rate,async call,(attitude_rate),"Set the attitude rate in terms of pitch, roll and yaw angular rate along with thrust.",offboard_set_attitude,implemented,P0,ArduCopter 4.5.7 SITL: accepted; rate tracking not quantitatively verified. PX4: untested (SITL pending).
offboard,Offboard,set_position_global,async call,(position_global_yaw),"Set the position in Global coordinates (latitude, longitude, altitude) and yaw",offboard_set_position_global,implemented,P0,ArduCopter 4.5.7 SITL: accepted; vehicle response not independently verified. PX4: untested (SITL pending).
offboard,Offboard,set_position_ned,async call,(position_ned_yaw),Set the position in NED coordinates and yaw.,offboard_set_position_ned,implemented,P0,ArduCopter 4.5.7 SITL: works - altitude target reached and held (verified 15 m). PX4: untested (SITL pending).
offboard,Offboard,set_position_velocity_acceleration_ned,async call,"(position_ned_yaw, velocity_ned_yaw, acceleration_ned)","Set the position, velocity and acceleration in NED coordinates, with velocity and acceleration used as feed-forward.",offboard_set_position_ned,implemented,P0,ArduCopter 4.5.7 SITL: accepted; feed-forward effect not independently verified. PX4: untested (SITL pending).
