plugin,method,status_override,firmware_notes
camera,camera_list,,"ArduCopter 4.5.7 SITL: works at protocol level - returns empty list (plain SITL has no camera backend). Untestable-in-SITL beyond discovery; needs PX4+gazebo or a camera component."
camera,take_photo,,"ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError TIMEOUT. Not evidence of firmware unsupport."
camera,get_storage,,"ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError UNAVAILABLE."
camera,get_mode,,"ArduCopter 4.5.7 SITL: returns UNKNOWN (no camera backend). Untestable beyond that."
camera,start_video,,"ArduCopter 4.5.7 SITL: untestable - no camera backend; observed CameraError TIMEOUT."
camera,current_settings,candidate-N/A,"Subscription stream duplicating get_current_settings; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
camera,mode,candidate-N/A,"Subscription stream duplicating get_mode; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
camera,possible_setting_options,candidate-N/A,"Subscription stream duplicating get_possible_setting_options; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
camera,storage,candidate-N/A,"Subscription stream duplicating get_storage; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
camera,video_stream_info,candidate-N/A,"Subscription stream duplicating get_video_stream_info; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
gimbal,gimbal_list,,"ArduCopter 4.5.7 SITL (MNT1_TYPE=1 simulated mount): works - gimbal discovered with id=1."
gimbal,take_control,,"ArduCopter 4.5.7 SITL (simulated mount): works. Without a configured mount: GimbalError ERROR."
gimbal,release_control,,"ArduCopter 4.5.7 SITL (simulated mount): works."
gimbal,get_control_status,,"ArduCopter 4.5.7 SITL (simulated mount): works - reports PRIMARY controller sysid/compid."
gimbal,set_angles,,"ArduCopter 4.5.7 SITL (simulated mount): works - commanded pitch -45 deg, gimbal attitude confirmed -45.0 deg."
gimbal,set_angular_rates,,"ArduCopter 4.5.7 SITL (simulated mount): accepted; rate tracking not quantitatively verified."
gimbal,set_roi_location,,"ArduCopter 4.5.7 SITL (simulated mount): accepted; pointing behavior not quantitatively verified."
gimbal,get_attitude,,"ArduCopter 4.5.7 SITL (simulated mount): works - matches commanded angles. Invalid gimbal_id yields INVALID_ARGUMENT."
gimbal,attitude,candidate-N/A,"Subscription stream duplicating get_attitude; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
gimbal,control_status,candidate-N/A,"Subscription stream duplicating get_control_status; redundant for a polling MCP server. Revisit for Phase 4 MCP notifications."
mission_raw,upload_mission,,"ArduCopter 4.5.7 SITL: works (v1 + QGC-imported items)."
mission_raw,download_mission,,"ArduCopter 4.5.7 SITL: works - round-trips uploaded items."
mission_raw,import_qgroundcontrol_mission_from_string,,"ArduCopter 4.5.7 SITL: works - QGC .plan JSON parsed (client-side) and uploadable."
mission_raw,import_qgroundcontrol_mission,,"Parsing is client-side in mavsdk_server (same code path as from_string, verified); file variant exercised via unit-level path handling."
mission_raw,upload_rally_points,,"ArduCopter 4.5.7 SITL: works - GOTCHA: MavSDK requires first item current=1, else CURRENT_INVALID. Handled by the tool."
mission_raw,download_rallypoints,,"ArduCopter 4.5.7 SITL: works - round-trips uploaded rally points."
mission_raw,upload_geofence,,"ArduCopter 4.5.7 SITL: accepted (raw fence items via mission protocol)."
mission_raw,download_geofence,,"ArduCopter 4.5.7 SITL: works - returns fence items uploaded via the geofence plugin (cross-checked)."
mission_raw,start_mission,,"ArduCopter 4.5.7 SITL: works (one transient UNKNOWN ack observed immediately after arming; retry succeeds)."
mission_raw,pause_mission,,"ArduCopter 4.5.7 SITL: works in flight (vehicle -> Loiter/HOLD). On ground/disarmed: no ack (timeout)."
mission_raw,clear_mission,,"ArduCopter 4.5.7 SITL: works."
mission_raw,set_current_mission_item,,"ArduCopter 4.5.7 SITL: works once a mission is uploaded (indexes 0 and 2 verified on the ground). CAVEAT: mavsdk validates the index against its cached mission total, which can collapse to 1 mid-flight on ArduPilot (see mission_progress note) - higher indexes may then be rejected with INVALID_ARGUMENT."
mission_raw,mission_progress,,"ArduCopter 4.5.7 SITL: works with caveats - emissions are event-driven (waypoint transitions), and a fresh subscription during the takeoff leg can report MISSION_CURRENT-derived total=1 instead of the uploaded item count (persistent pre-start subscription reported total=5 correctly; vehicle MISSION_COUNT verified 5 via pymavlink). Treat total as advisory on ArduPilot; tool exposes timeout_s."
mission_raw,cancel_mission_upload,,"ArduCopter 4.5.7 SITL: errors when no transfer is in progress (expected); mid-transfer cancel not separately verified."
mission_raw,cancel_mission_download,,"ArduCopter 4.5.7 SITL: errors when no transfer is in progress (expected); mid-transfer cancel not separately verified."
mission_raw,mission_changed,candidate-N/A,"Notification stream; nothing to poll. Candidate for Phase 4 MCP notifications."
log_files,get_entries,,"ArduCopter 4.5.7 SITL: MavSDK reports NO_LOGFILES although the autopilot answers LOG_REQUEST_LIST correctly (verified via pymavlink: num_logs=1, 1-based ids). MavSDK log_files expects PX4 0-based ids -> effectively PX4-only until fixed upstream."
log_files,download_log_file,,"ArduCopter 4.5.7 SITL: untestable via MavSDK (get_entries fails, see above). PX4: untested (SITL pending)."
log_files,erase_all_log_files,,"ArduCopter 4.5.7 SITL: call accepted; erase effect not independently verified."
